City;Population
Berlin;3769495
Madrid;3348536
Rome;2856133
Bucharest;2151665
Paris;2140526
Vienna;1911728
Hamburg;1841179
Warsaw;1793579
Budapest;1752286
Barcelona;1620343
Munich;1484226
Milan;1404239
Prague;1324277
Sofia;1241675
Cologne;1085664
Stockholm;974073
Naples;959188
Turin;875698
Amsterdam;873555
Marseille;862211
Zagreb;804049
Copenhagen;794128
Valencia;791413
Kraków;780981
Frankfurt;753056
Seville;688711
Łódź;677286
Zaragoza;666880
Athens;664046
Palermo;663401
Rotterdam;651870
Helsinki;648042
Wrocław;643782
Stuttgart;635911
Riga;632614
Düsseldorf;619294
Leipzig;587857
Dortmund;587010
Essen;583393
Gothenburg;579281
Genoa;578000
Málaga;571026
Bremen;569352
Vilnius;557440
Dresden;554649
Dublin;554554
The Hague;545273
Hanover;538068
Poznań;533830
Antwerp;525935
Nuremberg;518365
Lyon;515695
Lisbon;506654
Duisburg;498590
Toulouse;479638
Gdańsk;471525
Murcia;447182
Tallinn;441101
Bratislava;432864
Palma de Mallorca;409661
Szczecin;400990
Bologna;390636
Brno;381346
Iași;378954
Florence;378839
Las Palmas;378517
Bochum;364628
Utrecht;357676
Wuppertal;354382
Aarhus;349977
Bydgoszcz;346739
Plovdiv;346893
Bilbao;345821
Malmö;344166
Nice;342637
Lublin;339547
Varna;336505
Bielefeld;333786
Alicante;331577
Timișoara;328186
Bonn;327258
Córdoba;325708
Thessaloniki;325182
Cluj-Napoca;324960
Bari;320862
Constanța;317832
Münster;314319
Karlsruhe;313092
Catania;311584
Mannheim;309370
Nantes;306694
Galați;304050
Craiova;301269
Brussels;1208542
Edinburgh;48805
Geneva;201818
Krakow;779115
Ljubljana;295504
London;8961989
Luxembourg;626108
Oporto;287591
Oslo;693491
Zurich;415215
